keywords,context,text
pad#hold#air#head#kick,The,The PADI Air Force also held a series of kick-off exercises on the headlands.
direction#swim#flip#pool#wall,The,"The pool is open to swimmers of all ages and abilities, flip-flops and direction."
leg#massage#masseuse#table#lie,The,The woman lies down on the table with her legs draped over the headboard of the massage table.
front#house#run#field#dog,The,The house runs on a large field with a dog fronted by a manor with a barn.
head#rest#shoulder#close#eye,The,"The rest of the eyes closed, someone's head was on his shoulder and someone else's shoulder."
lie#shirt#pant#wear#beach,The,"The Panthers wore black and white shirts, while the beach lay in a dusky orange and orange."
puddle#rain#splash#dog#water,The,The dog is splashing in the water and puddling in the rain with a hot dog.
car#street#ride#camel#pass,The,"The camel is passing through the street, and the car is riding by on the other side of it."
row#wear#shirt#boat#water,The,The boat is wearing a yellow-and-white shirt and has a row of water bottles beside it.
keep#kick#ball#air#foot,The,"The ball was kicked straight into the air, keeping it in the air for a few feet before."
concert#clap#crowd#wear#wristband,The,"The concert is wearing a wristband with the words ""CLap for the crowd"" on it."
fall#run#bag#punch#kick,The,"The man runs away, but the bag kicks him in the face and he falls to the punch."
perform#wood#kick#block#karate,The,The wood blocks were usually performed by karate kickboxing and kung fu kickboxing artists respectively.
demonstrate#hand#fold#pair#napkin,The,The pair were hand-in-hand as they demonstrated how to folded napkin onto the fabric.
cook#stone#pour#knife#oil,The,The man pouring the oil is a man with a knife and he is cooking a stone in it.
coat#chair#sit#wear#hat,The,"The man is wearing a hat and a coat, and is sitting on a chair near a sink."
area#game#ball#begin#hit,The,The game began with the ball hit in the area of the middle of the net by Michael Bradley.
pull#hand#back#neck#cup,The,The back of the cup is pulled down by the hand with the right hand on the right side.
wine#open#stand#attempt#bottle,The,"The man opened a bottle of wine and attempted to stand up, but was quickly beaten to death."
walk#wear#snow#sweater#dog,The,"The snow is wearing off, and the dog is walking around with a sweater on and cold snow."
clothing#piece#bucket#water#wash,The,The man is washing a piece of clothing with a bucket of water that is about to be dried.
sweep#curl#stone#front#ice,The,The ice cream is in the shape of a man curled up in front of the fireplace with stones.
body#spread#water#wing#bird,The,"The wings are spread out over the water, with the bird's body partially submerged in the water."
field#tug#dog#mime#war,The,The dog mime of a dog tugging at a field of corn during the American Civil War.
spray#paint#wall#word#paint,The,"The wall painted with the words ""Painting of the sprays"" is painted on the wall."
line#stand#wait#buy#cream,The,"The line was bought by the cream of New Zealand's stand-up comedy, waiting for it."
allow#dog#say#sign#walk,The,The dog is said to have signalled that he would allow the boys to walk away from him.
sit#set#floor#row#domino,The,"The second set sits on the second floor, with a row of dominoes on the ground."
dog#check#phone#walk#pier,The,"The dog is checking out the phone, then walks over to the pier to see if there are."
space#use#lay#brick#spacer,The,The spacer was laid in the space between the use of the brick and the spacer itself.
anvil#metal#piece#hammer#hit,The,The pieces of the metal hammer were hit with anvils and a hammer and anvil together.
demonstrate#sit#fold#shirt#floor,The,The man in blue shirt is demonstrating how to sit on the floor and then folded in half again.
leave#friend#wedding#groom#bride,The,"The bride is groomed for her wedding and left with her best friend, who is also pregnant."
axe#target#throw#hit#bullseye,The,"The target of the attack was hit with a bullseye, throwing him off his stone shield."
tie#piece#demonstrate#knot#string,The,The piece demonstrates the ties between the strings and knots that can be used to tie them together independently.
carry#surround#crowd#flag#wave,The,"The flag is surrounded by a huge crowd of people, carrying waving flags and chanting ""Allahu Akbar"
pit#land#track#jump#run,The,"The first track on the album, ""Land Jump"", was a minor hit for Pitney Bowes."
motorcycle#vest#wear#helmet#sit,The,The motorcycle sits on a tarmac with a vestibule wearing a black helmet and black gloves.
toddler#spaghetti#fork#table#sit,The,The table below is a simplified layout of the fork-tiles that sits on the sides of pasta.
worker#vest#sit#break#take,The,The workers were taken to a vestibule where they were broken into and sat on the floor.
mower#grass#sit#field#mow,The,The mowing grass sits in a field mowed by a mowing mower at a farm.
night#welder#fly#spark#work,The,"The Welder is a work in progress, and sparked by the night we flew to New York."
blow#hold#create#flame#fire,The,The Flames held a 1–0 win over the Flames to create a tie for first place blowout.
wear#walk#flight#stair#clothing,The,"The stair is wearing out, the clothing is walking on its own, and the flight of stairs."
bottle#feed#hold#pond#fish,The,The fish are being held in a feeder pond at the bottom of a bottle-shaped pond.
apply#leg#hair#strip#remove,The,"The first leg of the strip was then applied to hair, before being removed by the second leg."
chair#sit#book#look#hold,The,"The book is a look at the chair, which is held by a man who sits in it."
wall#sit#floor#paperwork#look,The,"The walled city looks out over the floor, and the men sit on paperwork and look around."
goal#score#win#player#game,The,The game won the game by scoring two goals in the final minute of play to win the game.
mouth#run#hang#field#tongue,The,The tongue hangs out of the mouth and runs down the back of the field to the forewing.
track#run#watch#throw#pole,The,"The tracks are thrown in the middle of the track, which can be watched from the running pole."
apply#mirror#look#eye#mascara,The,"The eye is the mirror of the body, and the eyes are applied to look into the mascara."
water#pour#tea#cup#milk,The,"The cup is poured into the water, and the water is poured over the cup of coffee tea."
belt#fill#move#machine#bag,The,The machine is filled with a bag moving around on a conveyor belt and is powered by batteries.
run#dog#throw#fetch#disc,The,"The dog throws a disc to the catcher, who runs it to the third base dugout for."
pair#hold#fix#tool#glass,The,The pair are held in a glass-walled room with a fixed-screen television and tools.
music#decorate#tree#dance#family,The,"The family dance was decorated in the colors of the Christmas tree, and music was played by Rev."
bar#end#head#weight#lift,The,"The man lifted his weight up to the bar, then headed for the end of the barbell."
walk#tree#park#tie#rope,The,The park is tied to the ropes that can be seen walking through the trees along with other buildings.
rake#leave#finish#jump#pile,The,The leaves jump and flutter as the rippling leaves pile up and finish off the sunlight.
back#eat#tie#contest#hand,The,"The back of the hand is contested, but the back is eaten by a tie-up man."
lunch#truck#sit#front#eat,The,The truck sits in front of a bunch of people who are eating and listening to the music nearby.
bench#cream#bike#eat#sit,The,The bike sits on a bench that has been eaten away by ice cream and ice cream paraphernalia.
kid#snow#snowball#throw#walk,The,The kids are throwing a snowball and walking around the snow with it and they are walking around it.
rub#type#apply#face#cream,The,The type of cream applied to the face is made up of one or more rubs of cream.
sit#feed#duck#fence#wheelchair,The,The man is in a wheelchair and is fed up with the situation with the ducks and the fence.
stage#musician#guitar#wear#shirt,The,The musicians wore shirts that had the band's stage name on the front and guitar on the back.
table#sit#deck#card#demonstrate,The,"The cards are shown on the deck, and the table below demonstrates how they sit on the table."
shirt#tie#rinse#die#sink,The,"The man died on the way to hospital, while the woman was tied to a shirt and sink."
knife#give#board#throw#thumb,The,The board gives the thumb-up to a man who has been throwing a knife at his opponents.
rock#use#piece#break#hammer,The,"The hammer is used to break pieces of rock, and is also used for hammering out stones."
cat#belly#floor#lay#rub,The,"The cat lays down on the floor, and the cat rubs his belly against the wooden floor."
sip#head#wink#take#turn,The,"The head turns, then takes a sip of her drink, then turns to wink at the camera."
hold#fly#sky#string#kite,The,"The sky is the limit when it comes to flying kites, but hold onto a string long."
music#head#shake#dance#laugh,The,"The head of the music department, Isobel Stephens, laughs and shakes her head of dancing."
machine#put#basket#clothe#take,The,"The man is putting out a basket of clothes to take to the machines, which are still alive."
dog#brush#table#stand#fur,The,The dog is standing next to a table with two fur-brimmed glasses and a brush.
present#sit#kid#open#floor,The,The kids are sitting on the floor and they're opening and presenting their books to the other kids.
create#paint#canvas#artist#piece,The,The piece was created by artist Daniele Mosquera and painted on canvas by Italian artist.
braid#hair#side#head#turn,The,The braid turns out to be the same hair as the headband on her left side.
tie#give#instruction#tie#neck,The,"The tie was tied at 1-1, giving them a tie-tie with the Instructionals."
book#read#wait#laundromat#laundry,The,The book was read by a group of women waiting in a laundry room to be paid for laundry.
wash#hair#sink#head#hold,The,The head of the hair and make-up industry holds a sink to wash her face with water.
onion#board#chop#knife#cut,The,The board cuts off the man's hand with a cutting knife and cuts offion the right hand.
straighten#demonstrate#hair#iron#use,The,"The man is demonstrating how to straighten hair using an iron, which is commonly used in Korea."
sign#promote#hold#dollar#lesbianism,The,The first signs of gays being promoted to positions of power were held in the 1980s by U.
board#parachute#ride#hold#water,The,"The man is holding a parachute, while the board rides on the water's surface and drowns."
stick#run#snow#dog#carry,The,"The dog is running away from the snow, but the stick is still carrying the dog's weight."
balloon#kid#walk#water#test,The,The kids are walking in the water and the balloon is about to go up to test the water.
cigarette#jacket#cap#smoke#beard,The,The man with a beard is wearing a black jacket and smoking a cigarette with a cap on it.
player#referee#drop#puck#wait,The,"The referee was the first player to drop the puck, and he had to wait for the play."
take#picture#short#street#shirt,The,The shorts are taken from the streets of New York City and pictures of men and women in shirts.
swallow#crowd#watch#performer#sword,The,The crowd watched as the performers swelled to a size of more than a thousand with their swords.
walk#fall#tree#blossom#couple,The,The couple fell in love when they first walked through the trees and Bloss blossomed in 2010.
surgery#perform#scrub#wear#surgeon,The,"The surgeon, wearing a black scrub suit, performs a surgery on the knee of a male patient."
walk#toy#sell#visitor#vendor,The,"The vendor sold toys to the visitors, who then walked around the shop and bought toys from them."
soda#can#hamburger#drink#eat,The,"The hamburger can be eaten by a human, but it can only be eaten with a food processor."
table#floor#dance#seat#couple,The,The couple seats themselves on the floor and dance around the table while they listen to the musical numbers.
watch#board#student#kick#hold,The,The board held a special meeting to kick off the new students who would watch the new school year.
paw#music#face#stroke#sleep,The,"The music was a stroke of good fortune for him, he had faced a long sleep with pneumonia."
sit#floor#piece#puzzle#put,The,"The piece was put on the floor, where it sat for two or three days without any puzzle."
pour#place#glass#filter#tea,The,The glass filter is placed on the right side of the coffee cup to be poured into the tea.
trailer#brush#attach#truck#load,The,"The trailer was attached to a truck loaded with brush, and the trailer was being loaded onto it."
sit#pop#balloon#surprise#blow,The,"The balloons were blown up in a surprise sit-in by the pop group on May 29, 2020."
stand#sidewalk#shirt#short#wear,The,The man is wearing shorts and a T-shirt and is standing on the sidewalk with his hands.
ground#lantern#kneel#wear#glove,The,"The man is wearing a red and white lantern, kneeling in the ground with a glove on his left hand"
march#field#perform#watch#band,The,The band performed in the field as they watched the march from the middle of the hill to it.
push#cut#lawn#grass#mower,The,"The grass was cut, and a lawnmower pushed by a man with a mop was."
mix#bowl#counter#ingredient#begin,The,"The counter-protesters began to mix with the main group, and several ingredients for a bowl."
water#enjoy#surf#day#wind,The,The surfers enjoy warm days in the wind and warm waters on the coast of the Gulf of California.
linger#kiss#arm#share#wrap,The,"The man wraps his arms around her, and she shares a kiss with him before she hesitantly."
cross#pedestrian#street#wait#tram,The,The tram was waiting at the street crossing when a pedestrian was struck by it and died in hospital.
snow#snowblower#attach#tractor#remove,The,"The snowblower was removed from the tractor, which was still attached to the snow blower."
fish#step#watch#catch#sit,The,The man is caught on the steps of a fish and chip shop while sitting on a watchman.
wear#unicycle#ride#bagpipe#kilt,The,The bagpipe is worn on the unicycle and the kilt is worn over the riding jacket.
dough#bake#sheet#ball#place,The,"The dough is placed on a baking sheet, and the dough is kneaded by the ball."
peel#core#remove#machine#apple,The,"The Apple machine was removed from the core of the Peel machine, and replaced with an Apple."
trick#crowd#watch#perform#skateboard,The,The trick is to perform the trick on a skateboard and watch the crowd go crazy for it.
branch#cut#tree#shear#prune,The,The branch of the Shear tree that prunes and cuttles is called the shear.
book#student#pencil#forest#sit,The,"The book is a collection of pencil drawings, mostly of forest scenes with students sitting in their chairs."
tractor#watch#car#lot#hit,The,The car was hit by a tractor-trailer while it was being watched by a parking lot.
water#bike#ride#hill#flip,The,"The ride is split into two hills, with a bike flipped over the edge of one of them."
watch#lay#weight#lift#bench,The,The bench lifted the weight of the man's sentence and the man was laid down to watch it.
apple#break#slicer#plate#use,The,"The plate is used to break the apple into slices, which are then served to the diners."
swimmer#compete#spectator#backstroke#cheer,The,"The swimmers competed in the backstroke, 50 metre freestyle and 400 metre freestylers."
crowd#contest#cheer#eat#compete,The,The crowd is cheering as he competes in a contest to eat the most food in one minute.
dance#pump#fist#room#air,The,The room is filled with men and women who pump fists and dance to the air-dancing.
leg#razor#bed#sit#shave,The,The legend is that he is sitting on his bed with his legs shaved and razor between his teeth.
section#walk#store#shirt#touch,The,The woman's shirt was stored in the section where people are walking to and from the gymnasium.
cut#scoop#inside#watermelon#open,The,The man scooped up the inside of the watermelon and opened it to cut it in half.
dancer#routine#stage#perform#audience,The,The dancers perform a routine on stage as the audience applauds and applauds more to the beat.
eyebrow#demonstrate#apply#makeup#look,The,"The young man's makeup applied to his eyebrows, and then demonstrated how to look at his eyebrows."
shape#fold#table#sit#paper,The,The paper sits on a wooden table in the shape of a human head and folded in two halves.
sunglass#hold#head#top#mug,The,The head of the Sunglasses Factory holds a mug of coffee on the top of a white roof.
food#cook#kitchen#work#prepare,The,"The kitchen is a work in progress and is prepared for cooking, food storage, and shelving."
exercise#weight#lift#arm#hand,The,The weight of the arm lifts the body off the hand and exercise is over in a few seconds.
front#laugh#sit#food#table,The,The table below is a list of all foods that can be sitting in front of a laughing child.
beat#bat#truck#mailbox#ride,The,The truck was bathed in a mailbox to beat it up and ride it down the street again.
finger#move#hold#guitar#fret,The,The man is holding a finger to his mouth and is gesturing to his guitar as he moves.
coffee#park#drink#read#newspaper,The,"The newspaper reads: ""The boy is drinking coffee in the park with his friends when he notices."
sit#suitcase#clothe#pack#floor,The,The suit is packed with suitcases and other items that are sitting on the floor of the luggage.
walk#store#close#graffiti#mark,The,"The mall closed on May 31, 2013, marking the mall's final store as a graffiti walk."
traffic#direct#worker#crew#work,The,The construction workers were directed to work on the traffic crews' work site at the intersection of U.
piece#throw#air#pumpkin#pick,The,The pump was picked up by a piece of the air that had been thrown from the Great Lakes.
water#bear#dog#run#tooth,The,"The dog runs around the edge of the water, bears down with its teeth, and sniffs."
mother#washer#clothe#toddler#help,The,"The mother was clothes-shamed by her toddler, who was helped by her father to help."
umbrella#bench#sit#jacket#hold,The,The man with a black jacket is sitting on a bench and holding an umbrella in his left hand.
combine#cucumber#onion#bowl#pasta,The,"The bowl is combined with cucumber, onion, pasta, and parmesan to make cheese."
instruction#wrap#leg#give#bandage,The,The bandage wraps around his leg and gives him a look of instructions to put it on himself.
pour#oven#sausage#tray#oil,The,The oven is on a baking tray with oil and a few sprinkles of salt and a sausage.
meat#cook#barbecue#turn#skewer,The,The barbecue turns out to be cooked with a skewers of meat and vegetables from the local market.
phone#sidewalk#walk#shirt#talk,The,The man in black shirt is talking to a man walking on the sidewalk with a phone in his hand.
cook#grill#explain#sausage#place,The,The man is explaining how he cooked a sausage and placed it on a grill to cook for himself.
clothing#building#perform#wear#activity,The,"The building has been wearing out, and many activities have been performed on the exterior of the clothing."
menu#take#look#order#waiter,The,"The waiter takes the menu, and orders a bottle of wine to look at from the other table."
catch#mouth#treat#dog#open,The,"The dog was treated by a veterinarian, who opened the mouth to catch the dog's blood flow."
hit#machine#come#ball#bat,The,"The bats come out of the ball, hit the ball and go back to the machine for another."
stand#wear#field#jean#background,The,The black-and-white jeans are worn with a red background and a field of yellow standing.
player#hand#team#shake#oppose,The,The team also opposed the shake-up of the hand of the player who had been in charge.
walk#dress#street#cellphone#talk,The,The man walks down the street and talks to a man dressed in a police uniform and cell phone.
bench#arrive#sit#bus#wait,The,"The bus sits on a bench waiting to be arrived at the bus station, in the same area."
stand#face#door#ladder#expression,The,"The front door stands open, and expression on the face of the ladder leads to a stairway."
wear#lady#dress#sidewalk#sweep,The,"The lady is wearing a black dress with a sweeping skirt, and she has on a sidewalk dress."
scissor#look#beard#trim#mirror,The,"The mirror is in a scissor-like shape, looking like a beard trim or beard."
lollipop#hold#boot#wear#fence,The,"The man is wearing a boot, and is holding a lollipops on a wooden fence."
begin#dance#baton#routine#twirl,The,"The women began dancing in the middle of the bar, twirling and baton-dancing."
couple#take#park#dog#walk,The,The couple walk to the park where the dog is taken by a man and woman who work there.
toddler#bead#string#sit#floor,The,"The strings are sitting on the floor, and the teddy bear is sitting on a pink bead."
mural#flock#building#bird#fly,The,The bird is a flock of murals that have been flying over the building since it was completed.
drive#walk#water#road#flood,The,The road was flooded and the water was so high that we had to walk across it to drive.
axe#wood#piece#chop#take,The,"The man takes a piece of wood and cuts it with his axe, then he uses his knife."
bun#turn#grill#hand#toast,The,The grilled buns turn out to be a toast to the hands that make them and their ingredients.
flour#cut#dough#half#sprinkle,The,"The dough was cut into half and sprinkled with flour, then the dough was kneaded again."
track#race#runner#hurdle#jump,The,"The race was the first track jump of the season, as runner-up Davey Jones Jr."
floor#sweep#toddler#hold#broom,The,"The toddler was swept away by the broom, which then held on to the floor for a minute."
music#fold#demonstrate#paper#background,The,The paper demonstrates that the background of the music is not enough to be folded into the music itself.
clap#congregation#dance#church#music,The,The congregation is also home to the church's music and dance clap-alongs and St.
paint#art#create#tool#street,The,The painted tools were created in the streets of Paints and Sculpture in New York City.
take#stand#husband#picture#wife,The,The husband and wife are standing in a picture taken from the balcony of their home on May 30.
umbrella#tourist#bicycle#take#photo,The,The photo taken by the tourists shows a bicycle with an umbrella attached to it near the parking lot.
cheer#swimmer#crowd#compete,The,The crowd competed in a challenge to swim the length of the pool with the most number of cheer.
sit#table#bottle#open,The,"The tables were opened and the bottles were poured, and the sitting room was filled with the sound."
cheer#contest#eat#crowd,The,The crowd is in a very good position to eat and contest at the same time as the chefs.
stone#explain#knife#sharpen,The,The man is explaining that he has a knife with which he can cut stone to sharpen it.
stand#wear#bag#hold,The,The woman is wearing a bag that has been held up to the camera to stand in for her.
food#bowl#hold#smile,The,The woman is holding a bowl of food that she is smiling at while the man is behind her.
hat#paint#wear#face,The,The woman is wearing a black hat with a white face painted on it and a black and white.
back#horse#throw#cowboy,The,"The horse is in the back of the cowboy, and the horse is throwing hay at the cowboy."
read#turn#page#book,The,"The book reads like a page turner, but it turns out to be one of the best."
drive#water#river#cross,The,"The river crosses the Futaleufú River, which is driven by water from the Nu River."
separate#demonstrate#bottle#egg,The,"The eggs are separated into two bottles, and the female demonstrates how to lay them in the water."
restaurant#wine#drink#eat,The,"The restaurant has been drinking and eating at the restaurant since it opened, and wine is still available."
catch#run#dog#rabbit,The,"The dog is caught by the rabbit, who runs away, but the dog does not get away."
board#bus#wait#line,The,The bus is waiting on the other side of the line and is boarded by a man with glasses.
mother#bless#sneeze#say,The,The mother says she is blessed to be able to sneeze in the presence of her child.
foot#massage#clip#nail,The,"The video clip, which was first filmed by a local woman, has been viewed by millions worldwide."
walk#top#wear#short,The,"The man is wearing shorts and a T-shirt, and is walking on top of the stairs."
fall#push#wheelbarrow#sit,The,"The wheelbarrow is sitting in the middle of a field, pushing up and falling down rapidly."
mouth#swallow#pull#sword,The,The sword is pulled from the mouth of a man who has been swallowed by a giant black hole.
street#direct#traffic#walk,The,"The street is directed by the traffic lights, and pedestrians walk across the bridge to get to it."
face#apply#product#massage,The,"The product is applied to the face, then smoothed over with a tissue or handkerchief."
bird#eat#cup#hold,The,The bird is holding a cup that has been eaten by the roe in the middle of it.
floor#card#sit#shuffle,The,"The black and white card sitting on the floor is shuffled, and white is added to it."
stick#lip#lick#tongue,The,"The tongue licks the lip, and the tongue is stuck in between the gums and tongue."
park#walk#couple#take,The,"The couple then took a walk around the park, where they were confronted by a group of protesters."
look#cook#meat#grill,The,"The grilled meat is looking so good, I can't cook it any other way than this grill."
hold#weight#hand#gym,The,"The gym holds a weight room, but only one hand is allowed to be in the same space."
style#brush#dryer#hair,The,The dryer is a simple and simple-to-style brown hair dryer with a brush.
stage#couple#outfit#dance,The,"The couple had a dance outfit on at the end of the stage, which was also available online."
perform#background#move#music,The,"The music video for ""I'm Yours"" was moved to the background when it was performed."
smoke#music#pipe#listen,The,"The music video for ""Smoke On the Water"" was listened to by over 200,000."
snowman#kid#build#snow,The,"The kids are built for snow, snow, and snow as a snowboarder is snowboard."
throw#board#knife#stand,The,The man is on the board of a man standing to throw a knife into the crowd of protesters.
stool#sit#milk#cow,The,"The cow is sitting next to the milk, and the stools are beside the cow's body."
singe#microphone#song#hold,The,"The song was also featured on the soundtrack of the TV series ""Justified"" and filmed scenes."
picture#draw#pencil#paper,The,"The paper drew a pencil on a blank page, and the pictures on it were drawn on paper."
roof#work#cap#wear,The,"The roof of the work cap was wearing off, and it was raining hard by the time police arrived."
bulldozer#dirt#pile#push,The,"The bulldozer pushed through a pile of dirt, and the bulldozer moved on to the next."
guitar#sit#practice#bed,The,"The man is in his early 20s, and is practicing a guitar while sitting in his bed."
cross#road#traffic#wait,The,The traffic on the road has been crossing the bridge and waiting for the traffic to come to a halt.
jump#dog#toy#pool,The,"The dog jumped into the pool, but the boy was able to get out of the toy boat."
shoot#kid#ball#hoop,The,"The kids are shooting the hoop, and the ball is going in the hoop for them to shoot."
hand#carry#bag#hold,The,"The man is holding a bag that carries $100,000 in gold and silver and other items."
trail#ride#mountain#horse,The,The horse is riding down the trail through the woods with the mountains behind it and the surrounding hills.
jump#air#take#picture,The,The picture taken by the pilot of the air force helicopter jumped to the bottom of the sea floor.
sit#ball#floor#throw,The,"The ball is thrown on the floor, and the two sit down to play a game of ping."
field#run#hold#stick,The,"The field was held in stick-up mode, but a man ran up to the stage area."
squirt#jet#dog#water,The,The hot dog is on the side of the plate with a jet of water on the other side.
building#sidewalk#front#walk,The,"The building is on the sidewalk in front of the parking lot, with a walkway to it."
wear#tie#tie#shirt,The,The man is wearing a red shirt and is tied up with a red bow tie on his neck.
watch#movie#eat#lunch,The,The movie ends with a man eating a lunch and watching a video on his cell phone of himself.
move#guitar#finger#hold,The,"The man is holding a guitar and is trying to move it with his finger, but cannot do it."
peel#potato#sit#table,The,"The Peel, Ontario, baked potato is sitting on a wooden table next to the oven floor."
treat#sit#wait#dog,The,The dog is waiting for the other dog to sit down and treat it to some of the food.
gas#car#put#pump,The,"The man put gas in the car, pump it up, and drove away from the parking lot."
wood#saw#piece#saw,The,The sawmill is a wood sawmill with a piece of sawmill in the middle of it.
hand#music#dance#hold,The,The music video was held up by a man who danced with the hand of a girl in glasses.
piece#metal#polish#machine,The,"The piece was later polished by machine, and the metal was polished by hand to a fine finish."
dog#hold#jump#stick,The,The dog is holding a stick and jumping up and down on it to see if it is safe.
watch#cartoon#wear#headphone,The,The cartoon was designed to be a watch that would wear out over time rather than a headphone device.
work#project#hat#wear,The,"The project is now wearing a hat, and is working on the next installment of the film trilogy."
bottle#open#cap#use,The,The bottle was opened and the liquid was poured onto the floor using a cap on the bottle itself.
playing#build#card#house,The,"The play was built around the playing card house, which is a four-by-four board."
hand#hold#snake#talk,The,The man is holding a snake while talking to a woman with a hand over her mouth in black.
cut#sharpen#carrot#knife,The,"The man cutting carrots with a knife, the man cutting butter with a butter knife, and then."
punch#kick#bag#gym,The,"The bag is a bunch of fun to kick around in the gym, and it is very convenient."
watch#continue#ball#hit,The,"The ball continued to hit the ground, but it was watched by a group of people in glasses."
capture#ride#movement#continue,The,"The movement continued to be captured by the British, who were able to ride it into the mountains."
wear#bag#carry#shirt,The,"The man is wearing a black shirt, carrying a bag, and has a beard and black jacket."
lie#table#receive#massage,The,"The table below lists the name of each child, and where they are received from and who lies behind."
hit#jump#bike#ride,The,The man is riding a bike and jumping over a barricade while hit by a car early morning.
table#family#eat#dinner,The,The family of a man who was eating dinner on the table next to him at a local restaurant.
eye#mascara#apply#look,The,"The woman applied her mascara to her eyes and looked at the camera, then went to the bathroom."
ball#technique#kick#demonstrate,The,The ball is in his court to demonstrate that he can kick the ball with technique and consistency too.
hold#instrument#sit#chair,The,"The man is sitting on a chair, holding an instrument in his left hand and playing a guitar."
craft#art#sit#table,The,The table below shows the arts and crafts that sit on the top of the list of the U.
field#hit#practice#baseball,The,"The practice of hitting baseballs in the field is not uncommon, but this is not a practice."
cross#eye#touch#nose,The,"The eye is crossed with the nose, and the mouth touches the back of the head (i."
water#stand#jacket#wear,The,The man is wearing a black jacket and is standing in the middle of the water with his arms.
worker#side#work#building,The,The building was built in 1864 to work as a building worker's quarters on the west side.
hold#snowboard#pull#kite,The,"The snowboard is pulled by a kite, which is held by a man on the ground."
watch#beach#sky#plane,The,The sky is filled with planes and watch out for planes on the beach as well as small planes.
ocean#stand#sun#set,The,The sun is set on the ocean as it stands in the middle of a dark and desolate landscape.
costume#street#walk#dress,The,"The street is filled with people dressed in costume, and people walking around with a lot of costumes."
fork#egg#beat#bowl,The,The North Fork beat the South Fork in a bowl game for the second time in the past three eggs.
dance#stage#begin#middle,The,"The stage began to dance in the middle of the dance floor, and the girls were all dancing."
enjoy#day#beach#family,The,"The beach is enjoyed by many families, as well as a few day-trippers and tourists."
ice#liquor#add#glass,The,"The ice cream is added to a glass of hot water, which is then poured into a liquor."
gym#squat#shoulder#weight,The,"The gym has a weight room with a bench, squat rack, and banded shoulder and elbow."
fill#bag#seal#machine,The,"The machine is filled with plastic bags, seals, and other equipment to seal the bag before it."
hair#pull#tape#remove,The,The woman is removing her hair and putting it on a tape to pull it out of her hair.
pen#music#desk#hit,The,"The music video was directed by Masayoshi Soken, who hit the desk with his pen."
dog#cat#chase#street,The,"The dog chases the cat through the streets, and the dog is chased by the cat again."
bowl#egg#crack#kitchen,The,The kitchen has a bowl of eggs and crackers on the counter near the sink and a dish.
sink#toothbrush#sit#hold,The,"The toothbrush has a long, splayed handle that is held in place by a sitting cushion."
wife#shopping#wait#finish,The,The woman is waiting for her wife to finish shopping before she goes to the parking lot for her.
dance#wear#music#hat,The,"The music was worn down by the dance of hat, hat, and dance of the young men."
mouth#toy#dog#catch,The,"The dog is caught in the mouth of the toy, and the dog does not want to come."
brush#horse#tail#stand,The,"The horse is standing with its tail between its legs, with a mane of black fur brushed."
machine#cap#bottle#put,The,"The man is putting a bottle cap on the machine, and then he is trying to put it."
map#front#report#give,The,The report was given to the US Department of Defence in front of a detailed map of the town.
talk#wear#lady#jacket,The,The lady is wearing a black jacket and is talking to the man in a yellow T-shirt.
pool#cheer#race#swimmer,The,"The swimming pool is a warm-up for the race, as the swimmers are cheered on."
piece#metal#hit#hammer,The,"The hammer hit the metal pieces, and the man was hit by a steel rod with a hammer."
toy#run#grass#mouth,The,"The Toy grass runs through the mouth of the cave, and there is a bridge over it."
insert#lens#attempt#eye,The,"The lens was inserted into the eye, and an attempt was made to insert it through the eye."
tree#surround#path#walk,The,The trees are surrounded by a path that walks around the edge of the park in order to avoid.
continue#jump#bar#swinge,The,"The bar continues to jump, as the two men continue to swing at each other in the hallway."
equipment#arm#work#gym,The,The men are working in a gym with equipment of the same size and armament as the equipment.
grass#dog#stand#owner,The,"The dog is standing in the grass with its owner, who is kneeling on the ground near it."
run#jump#path#pit,The,"The trail runs parallel to the path of the Jumping Pit, which is a natural rock pit."
pipe#sit#smoke#chair,The,"The black smoke is sitting on the pipe, and the chair is smothered in black smoke."
take#picture#friend#mountain,The,The pictures taken by his friend were taken from the mountains above the town of Zagreb in Slovenia.
run#kid#throw#balloon,The,"The kids are throwing balloons, running around, and having fun with each other and making a lot."
overlook#rock#sit#water,The,"The water is still sitting on the rocks, but it is now overlooked by the trees."
grass#stick#walk#dog,The,The dog walks around the grass and sticks his head out to see if anyone is around the tree.
park#perform#trick#skateboard,The,"The skateboarder has performed tricks on the skateboard in the park before, but never before."
hair#braid#instruction#give,The,The braid is given instructions by the hair that it should be cut off at the same time.
smile#shake#head#look,The,The man is looking at the head of a woman who is shaking her head in a smiling manner.
mallet#hit#stand#gong,The,"The song ""Gonglish"" stood out to Mallet, who hit it off with her."
hold#mouth#blow#flute,The,"The mouth is holding a flute, which is blown by a man with a fluted instrument."
sit#suitcase#pack#floor,The,The suit is the first suit suit suit to be packed with suitcases sitting on the floor together.
time#practice#dribble#basketball,The,"The practice was first started in the basketball courts of Brooklyn, New York, some time after basketball."
helmet#wear#cave#light,The,"The cave is visible from the shelter, and the light is wearing off from the outside of it."
bed#lady#put#sheet,The,"The ladies put on a bed of pink sheets, one by one for each of them to wear."
brush#couch#hair#sit,The,"The man with black hair is sitting on a couch, with a brush and a roll of tape."
stand#fold#hat#arm,The,The women's arms were folded and they were standing with their hat in one hand and their weapons.
